lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E06000036,2,0.3,0.4,0.4,-0.8,0.5,0.3,0.3,-2,1.4,0.3,1.4,2.7,0.9,-4.5,-2.3,11.4,0.2,0.3,0.8,-2.3,0.7,1.9,-3.7,0.7,-3.1,1.2,2.3,3.3,0.5,-11.5,0.6,0,0.5,10.5,-3.8,4.7,-0.4,-0.5,2.4,-0.8,-2.9,2.2,1
E06000037,3,0.2,0.3,0.4,-0.4,0.6,-0.2,0.1,-1.9,1.3,0.2,1.3,1.5,0.4,-2.6,-2.3,11.3,0.4,0.2,0.9,-3.1,0.7,1.2,-3.1,1.3,-2.1,1.2,1.5,6.5,0.1,-12.3,0.5,-0.1,0.4,11,-4.6,5,0.1,0.8,-1.1,0.6,-3.2,3.2,1
E06000038,1,-0.3,0.3,0.2,2.3,-1.6,-0.7,3.1,-1.8,1,0.9,2,7.7,2.6,-12.1,-2.7,13,0.8,0.3,1.2,-2.8,0.1,1.9,-1.2,0.5,-0.9,0.3,2,8.8,0.7,-12.6,2.7,-0.1,3.1,7.5,-11,10.9,0.7,-2,-5.6,5.4,-1.2,2.7,1
E06000039,-1,-0.8,0.4,0.2,5.2,-5.5,0.3,6.5,-3.8,2.7,1.1,2,11.5,3.6,-18,-3.3,13.4,0.6,-0.3,1.5,-3.9,-3.3,4.1,-0.5,0.8,0.2,0.8,0.7,17.8,0.3,-12.6,1.7,-0.1,9.9,1.2,-13.7,13.6,0,4.3,-7.1,1.6,-2.9,4,1
E06000040,2,0,0.3,0.3,1.8,-1.7,-0.1,0.6,-0.8,1.9,0.3,1.1,4.5,0.7,-6.3,-2.4,11.4,0.8,0.1,0.9,-2.5,1.2,1.2,-2.2,0.4,-1.9,1.1,1.6,8.2,0.2,-11.4,0.9,-0.1,1.5,7.8,-4.8,4.2,0.9,-0.6,-2.5,0.6,-2.3,5.1,1
E06000041,3,0.1,0.3,0.4,0,-0.1,0.1,0.2,-1.9,1.6,-0.1,1.1,3.8,0.5,-5.5,-1.9,10.2,0.5,0.1,1,-3,0.6,1.2,-3.2,0.7,-0.9,0.9,0,2.8,0.1,-13.3,1.2,0,1.5,9.4,-3.5,3.5,-0.2,0.8,2.6,-1.5,-5.3,4.3,1
E06000042,1,-0.2,0.3,0.2,0.2,-0.7,0.5,1.4,-3.2,1.4,0.5,1.8,4.6,4.5,-10.7,-3,12.6,0.4,0.1,1,-3.5,1,1.5,-3.4,-1.1,-3.7,0.7,3.5,20.2,0.1,-12.8,1.5,-0.1,2.5,9.8,-9.2,9.8,-1.3,1.3,-4.8,1.7,-2.2,3.3,1
E06000043,-1,-0.2,0.2,0.1,2,-2.2,0.2,3.1,-0.6,2.5,1.8,0.1,1.8,0.7,-5.2,-3.8,14.9,0.6,0.1,1.2,-2.3,1.1,1.3,-0.6,-2.9,-3.7,-0.5,6.8,10.3,0.3,-16.2,0.1,-0.4,0.8,15.4,-8,7.9,0.4,-0.3,-8.6,2.6,-2.1,6.3,1
E06000044,-1,-0.1,0.3,0.2,0.4,-0.6,0.2,4.5,-2.8,0.8,1.9,1.2,2.8,1.3,-6.4,-3.6,14.7,0.6,-0.3,1.5,-3.2,1.4,1.4,-3,-0.7,-5.2,0.3,7.2,9.8,0.2,-15.9,0.2,0,1.3,15.1,-9.5,10,-0.1,-0.4,-2.8,4.3,-2.2,1.2,1
E06000045,-1,-0.2,0.3,0.2,0.4,-0.3,0,3.9,-0.1,1.3,1.5,1.4,3.9,1.1,-6.5,-3.5,14.2,0.1,-0.1,1.7,-3.6,2.1,0,-1.5,-0.7,-2.7,0.2,4.4,8.9,0.2,-14,0.3,0,2.3,11.9,-7.4,8.4,-0.7,-1.7,-2,5,-2.5,0.8,1
