lad,agemed_all,care_1to19hoursWeek,care_20to49hoursWeek,care_40PlushoursWeek,children_Kids,children_NoKids,children_NonDepKids,density_all,economic_employee,economic_self-employed,economic_student,economic_unemployed,ethnicity_asian,ethnicity_black,ethnicity_white,health_bad,health_good,hoursworked_Female1-15,hoursworked_Female49plus,hoursworked_Male1-15,hoursworked_Male49plus,household_Cohabiting,household_LoneParent,household_Married,household_OnePerson,marital_Married,marital_Seperated,marital_Single,population_all,religion_Buddhist,religion_Christian,religion_Hindu,religion_Jewish,religion_Muslim,religion_Noreligion,tenure_owned,tenure_rented_private,tenure_rented_social,travel_bus,travel_car_van,travel_foot,travel_home,travel_train_metro,welsh_SpeaksWelsh
E07000076,46,7.28,1.2,2.77,23.46,68.19,8.34,4.1,45.24,9.3,1.69,2.96,0.46,0.15,98.66,11.17,62.51,7.89,2.85,2.09,14.27,7.2,7.05,33.24,32.57,54.77,10.88,22.09,138539,0.13,76.03,0.1,0.15,0.23,14.94,79.17,9.33,9.11,2.32,62.77,12.41,13.32,1.18,1
E07000077,40,7.59,0.75,1.3,30.88,59.61,9.51,1.08,55.34,13.01,2.11,1.73,0.73,0.16,98.17,5.83,74.77,7.8,3.69,2.11,17.48,7.97,6.48,46.36,24.71,59.31,9.3,24.01,68946,0.23,76.64,0.14,0.29,0.42,15.19,74.41,9.38,12.88,1.73,70.77,9.13,13.22,2.01,1
E07000078,37,6.64,0.82,1.48,24.82,67.9,7.28,23.6,54.55,8.13,4.35,2.64,1.83,0.32,96.66,7.43,71.22,6.78,3.2,2.42,10.68,9,7.93,31.99,34.39,46.63,10.8,34.11,110013,0.27,72.34,0.7,0.12,0.49,18.23,71.17,13.11,13.26,5.37,63.9,14.69,7.78,0.37,1
E07000079,42,7.4,0.78,1.39,26.28,65.54,8.17,0.69,52.27,14.34,1.92,1.73,0.41,0.1,98.8,6.43,72.12,7.9,4.3,2.22,16.84,7.84,6.35,39.99,28.98,57.68,9.89,23.37,80376,0.18,80.13,0.07,0.14,0.13,12.87,68.23,11.91,14.16,1.35,65.17,12.58,15.87,0.36,1
E07000080,41,7.54,1.08,2.03,29.52,60.35,10.13,1.52,52.06,11,2.21,2.97,0.31,0.11,99.08,8.45,67.96,7.86,3.14,1.68,13.98,8.21,7.66,42.99,25.69,57.13,9.78,24.24,79982,0.16,77.07,0.06,0.04,0.07,13.86,76.27,6.94,14.12,1.85,67.43,11.16,15.99,0.17,1
E07000081,36,6.62,1.05,1.8,31.37,60.08,8.55,27.11,59.25,6.07,2.32,3.39,3.03,2.3,92.54,8.64,69.24,6.53,2.18,1.63,10.94,9.26,9.58,37.2,30.2,51.8,11.79,28.73,109885,0.14,74.34,0.44,0.06,2.25,14.25,74.23,9.54,14.04,7.13,69.46,9.58,6.4,0.44,1
E07000082,41,8.14,0.92,1.59,29.19,61.56,9.25,2.34,55.02,11.18,2.19,2.4,0.47,0.16,98.67,7.24,71,8.14,3.3,2.08,13.96,8.56,7.47,41.28,27.32,56.61,10.11,24.71,107898,0.22,74.96,0.04,0.1,0.16,16.13,75.93,7.18,14.21,2.28,68.47,10.66,14.35,0.26,1
E07000083,41,7.65,0.85,1.66,28.17,62.94,8.89,1.84,57.4,9.77,2.23,2.02,0.57,0.13,98.6,6.97,71.83,7.07,3.07,1.91,13.12,8.19,7.34,41.59,27.81,57.63,10.35,23.5,76405,0.11,79.12,0.18,0.08,0.2,13.05,78.12,7.52,12.01,2.34,71.09,8.04,10.96,0.22,1
E07000084,37,6.19,0.73,1.38,31.57,58.68,9.76,2.41,63.1,8.52,2.41,1.97,1.57,0.58,96.56,5.95,74.33,6.1,3.12,1.82,13.82,9.63,8.01,43.48,25.35,55.4,10.84,27.21,152573,0.16,74.02,0.45,0.12,0.51,16.98,73.08,6.87,17.32,3.81,71.6,8.78,9.77,2.45,1
E07000085,40,7.19,0.74,1.41,30.87,60.34,8.79,2.12,56.19,11.71,2.33,1.82,0.63,0.19,98.35,5.97,74.11,7.73,3.69,2.12,15.89,7.35,6.99,45.44,24.8,58.71,9.65,23.87,109274,0.21,77.03,0.13,0.16,0.25,15.36,77.45,8.57,11.44,2.15,65.26,11.84,14.99,1.42,1
